Gene	Exon	Pos_IMGT	Pos_1000G
HLA-A	3	419	29911193
HLA-A	3	420	29911194
HLA-A	3	421	29911195
HLA-A	3	422	29911196
HLA-A	3	423	29911197
HLA-A	3	424	29911198
HLA-A	3	425	29911199
HLA-A	3	426	29911200
HLA-A	3	427	29911201
HLA-A	3	428	29911202
HLA-A	3	429	29911203
HLA-A	3	430	29911204
HLA-A	3	431	29911205
HLA-A	3	432	29911206
HLA-A	3	433	29911207
HLA-A	3	434	29911208
HLA-A	3	435	29911209
HLA-A	3	436	29911210
HLA-A	3	437	29911211
HLA-A	3	438	29911212
HLA-A	3	439	29911213
HLA-A	3	440	29911214
HLA-A	3	441	29911215
HLA-A	3	442	29911216
HLA-A	3	443	29911217
HLA-A	3	444	29911218
HLA-A	3	445	29911219
HLA-A	3	446	29911220
HLA-A	3	447	29911221
HLA-A	3	448	29911222
HLA-A	3	449	29911223
HLA-A	3	450	29911224
HLA-A	3	451	29911225
HLA-A	3	452	29911226
HLA-A	3	453	29911227
HLA-A	3	454	29911228
HLA-A	3	455	29911229
HLA-A	3	456	29911230
HLA-A	3	457	29911231
HLA-A	3	458	29911232
HLA-A	3	459	29911233
HLA-A	3	460	29911234
HLA-A	3	461	29911235
HLA-A	3	462	29911236
HLA-A	3	463	29911237
HLA-A	3	464	29911238
HLA-A	3	465	29911239
HLA-A	3	466	29911240
HLA-A	3	467	29911241
HLA-A	3	468	29911242
HLA-A	3	469	29911243
HLA-A	3	470	29911244
HLA-A	3	471	29911245
HLA-A	3	472	29911246
HLA-A	3	473	29911247
HLA-A	3	474	29911248
HLA-A	3	475	29911249
HLA-A	3	476	29911250
HLA-A	3	477	29911251
HLA-A	3	478	29911252
HLA-A	3	479	29911253
HLA-A	3	480	29911254
HLA-A	3	481	29911255
HLA-A	3	482	29911256
HLA-A	3	483	29911257
HLA-A	3	484	29911258
HLA-A	3	485	29911259
HLA-A	3	486	29911260
HLA-A	3	487	29911261
HLA-A	3	488	29911262
HLA-A	3	489	29911263
HLA-A	3	490	29911264
HLA-A	3	491	29911265
HLA-A	3	492	29911266
HLA-A	3	493	29911267
HLA-A	3	494	29911268
HLA-A	3	495	29911269
HLA-A	3	496	29911270
HLA-A	3	497	29911271
HLA-A	3	498	29911272
HLA-A	3	499	29911273
HLA-A	3	500	29911274
HLA-A	3	501	29911275
HLA-A	3	502	29911276
HLA-A	3	503	29911277
HLA-A	3	504	29911278
HLA-A	3	505	29911279
HLA-A	3	506	29911280
HLA-A	3	507	29911281
HLA-A	3	508	29911282
HLA-A	3	509	29911283
HLA-A	3	510	29911284
HLA-A	3	511	29911285
HLA-A	3	512	29911286
HLA-A	3	513	29911287
HLA-A	3	514	29911288
HLA-A	3	515	29911289
HLA-A	3	516	29911290
HLA-A	3	517	29911291
HLA-A	3	518	29911292
HLA-A	3	519	29911293
HLA-A	3	520	29911294
HLA-A	3	521	29911295
HLA-A	3	522	29911296
HLA-A	3	523	29911297
HLA-A	3	524	29911298
HLA-A	3	525	29911299
HLA-A	3	526	29911300
HLA-A	3	527	29911301
HLA-A	3	528	29911302
HLA-A	3	529	29911303
HLA-A	3	530	29911304
HLA-A	3	531	29911305
HLA-A	3	532	29911306
HLA-A	3	533	29911307
HLA-A	3	534	29911308
HLA-A	3	535	29911309
HLA-A	3	536	29911310
HLA-A	3	537	29911311
HLA-A	3	538	29911312
HLA-A	3	539	29911313
HLA-A	3	540	29911314
HLA-A	3	541	29911315
HLA-A	3	542	29911316
HLA-A	3	543	29911317
HLA-A	3	544	29911318
HLA-A	3	545	29911319
HLA-A	3	546	29911320
HLA-A	4	547	29911899
HLA-A	4	548	29911900
HLA-A	4	549	29911901
HLA-A	4	550	29911902
HLA-A	4	551	29911903
HLA-A	4	552	29911904
HLA-A	4	553	29911905
HLA-A	4	554	29911906
HLA-A	4	555	29911907
HLA-A	4	556	29911908
HLA-A	4	557	29911909
HLA-A	4	558	29911910
HLA-A	4	559	29911911
HLA-A	4	560	29911912
HLA-A	4	561	29911913
HLA-A	4	562	29911914
HLA-A	4	563	29911915
HLA-A	4	564	29911916
HLA-A	4	565	29911917
HLA-A	4	566	29911918
HLA-A	4	567	29911919
HLA-A	4	568	29911920
HLA-A	4	569	29911921
HLA-A	4	570	29911922
HLA-A	4	571	29911923
HLA-A	4	572	29911924
HLA-A	4	573	29911925
HLA-A	4	574	29911926
HLA-A	4	575	29911927
HLA-A	4	576	29911928
HLA-A	4	577	29911929
HLA-A	4	578	29911930
HLA-A	4	579	29911931
HLA-A	4	580	29911932
HLA-A	4	581	29911933
HLA-A	4	582	29911934
HLA-A	4	583	29911935
HLA-A	4	584	29911936
HLA-A	4	585	29911937
HLA-A	4	586	29911938
HLA-A	4	587	29911939
HLA-A	4	588	29911940
HLA-A	4	589	29911941
HLA-A	4	590	29911942
HLA-A	4	591	29911943
HLA-A	4	592	29911944
HLA-A	4	593	29911945
HLA-A	4	594	29911946
HLA-A	4	595	29911947
HLA-A	4	596	29911948
HLA-A	4	597	29911949
HLA-A	4	598	29911950
HLA-A	4	599	29911951
HLA-A	4	600	29911952
HLA-A	4	601	29911953
HLA-A	4	602	29911954
HLA-A	4	603	29911955
HLA-A	4	604	29911956
HLA-A	4	605	29911957
HLA-A	4	606	29911958
HLA-A	4	607	29911959
HLA-A	4	608	29911960
HLA-A	4	609	29911961
HLA-A	4	610	29911962
HLA-A	4	611	29911963
HLA-A	4	612	29911964
HLA-A	4	613	29911965
HLA-A	4	614	29911966
HLA-A	4	615	29911967
HLA-A	4	616	29911968
HLA-A	4	617	29911969
HLA-A	4	618	29911970
HLA-A	4	619	29911971
HLA-A	4	620	29911972
HLA-A	4	621	29911973
HLA-A	4	622	29911974
HLA-A	4	623	29911975
HLA-A	4	624	29911976
HLA-A	4	625	29911977
HLA-A	4	626	29911978
HLA-A	4	627	29911979
HLA-A	4	628	29911980
HLA-A	4	629	29911981
HLA-A	4	630	29911982
HLA-A	4	631	29911983
HLA-A	4	632	29911984
HLA-A	4	633	29911985
HLA-A	4	634	29911986
HLA-A	4	635	29911987
HLA-A	4	636	29911988
HLA-A	4	637	29911989
HLA-A	4	638	29911990
HLA-A	4	639	29911991
HLA-A	4	640	29911992
HLA-A	4	641	29911993
HLA-A	4	642	29911994
HLA-A	4	643	29911995
HLA-A	4	644	29911996
HLA-A	4	645	29911997
HLA-A	4	646	29911998
HLA-A	4	647	29911999
HLA-A	4	648	29912000
HLA-A	4	649	29912001
HLA-A	4	650	29912002
HLA-A	4	651	29912003
HLA-A	4	652	29912004
HLA-A	4	653	29912005
HLA-A	4	654	29912006
HLA-A	4	655	29912007
HLA-A	4	656	29912008
HLA-A	4	657	29912009
HLA-A	4	658	29912010
HLA-A	4	659	29912011
HLA-A	4	660	29912012
HLA-A	4	661	29912013
HLA-A	4	662	29912014
HLA-A	4	663	29912015
HLA-A	4	664	29912016
HLA-A	4	665	29912017
HLA-A	4	666	29912018
HLA-A	4	667	29912019
HLA-A	4	668	29912020
HLA-A	4	669	29912021
HLA-A	4	670	29912022
HLA-A	4	671	29912023
HLA-A	4	672	29912024
HLA-A	4	673	29912025
HLA-A	4	674	29912026
HLA-A	4	675	29912027
HLA-A	4	676	29912028
HLA-A	4	677	29912029
HLA-A	4	678	29912030
HLA-A	4	679	29912031
HLA-A	4	680	29912032
HLA-A	4	681	29912033
HLA-A	4	682	29912034
HLA-A	4	683	29912035
HLA-A	4	684	29912036
HLA-A	4	685	29912037
HLA-A	4	686	29912038
HLA-A	4	687	29912039
HLA-A	4	688	29912040
HLA-A	4	689	29912041
HLA-A	4	690	29912042
HLA-A	4	691	29912043
HLA-A	4	692	29912044
HLA-A	4	693	29912045
HLA-A	4	694	29912046
HLA-A	4	695	29912047
HLA-A	4	696	29912048
HLA-A	4	697	29912049
HLA-A	4	698	29912050
HLA-A	4	699	29912051
HLA-A	4	700	29912052
HLA-A	4	701	29912053
HLA-A	4	702	29912054
HLA-A	4	703	29912055
HLA-A	4	704	29912056
HLA-A	4	705	29912057
HLA-A	4	706	29912058
HLA-A	4	707	29912059
HLA-A	4	708	29912060
HLA-A	4	709	29912061
HLA-A	4	710	29912062
HLA-A	4	711	29912063
HLA-A	4	712	29912064
HLA-A	4	713	29912065
HLA-A	4	714	29912066
HLA-A	4	715	29912067
HLA-A	4	716	29912068
HLA-A	4	717	29912069
HLA-A	4	718	29912070
HLA-A	4	719	29912071
HLA-A	4	720	29912072
HLA-A	4	721	29912073
HLA-A	4	722	29912074
HLA-A	4	723	29912075
HLA-A	4	724	29912076
HLA-A	4	725	29912077
HLA-A	4	726	29912078
HLA-A	4	727	29912079
HLA-A	4	728	29912080
HLA-A	4	729	29912081
HLA-A	4	730	29912082
HLA-A	4	731	29912083
HLA-A	4	732	29912084
HLA-A	4	733	29912085
HLA-A	4	734	29912086
HLA-A	4	735	29912087
HLA-A	4	736	29912088
HLA-A	4	737	29912089
HLA-A	4	738	29912090
HLA-A	4	739	29912091
HLA-A	4	740	29912092
HLA-A	4	741	29912093
HLA-A	4	742	29912094
HLA-A	4	743	29912095
HLA-A	4	744	29912096
HLA-A	4	745	29912097
HLA-A	4	746	29912098
HLA-A	4	747	29912099
HLA-A	4	748	29912100
HLA-A	4	749	29912101
HLA-A	4	750	29912102
HLA-A	4	751	29912103
HLA-A	4	752	29912104
HLA-A	4	753	29912105
HLA-A	4	754	29912106
HLA-A	4	755	29912107
HLA-A	4	756	29912108
HLA-A	4	757	29912109
HLA-A	4	758	29912110
HLA-A	4	759	29912111
HLA-A	4	760	29912112
HLA-A	4	761	29912113
HLA-A	4	762	29912114
HLA-A	4	763	29912115
HLA-A	4	764	29912116
HLA-A	4	765	29912117
HLA-A	4	766	29912118
HLA-A	4	767	29912119
HLA-A	4	768	29912120
HLA-A	4	769	29912121
HLA-A	4	770	29912122
HLA-A	4	771	29912123
HLA-A	4	772	29912124
HLA-A	4	773	29912125
HLA-A	4	774	29912126
HLA-A	4	775	29912127
HLA-A	4	776	29912128
HLA-A	4	777	29912129
HLA-A	4	778	29912130
HLA-A	4	779	29912131
HLA-A	4	780	29912132
HLA-A	4	781	29912133
HLA-A	4	782	29912134
HLA-A	4	783	29912135
HLA-A	4	784	29912136
HLA-A	4	785	29912137
HLA-A	4	786	29912138
HLA-A	4	787	29912139
HLA-A	4	788	29912140
HLA-A	4	789	29912141
HLA-A	4	790	29912142
HLA-A	4	791	29912143
HLA-A	4	792	29912144
HLA-A	4	793	29912145
HLA-A	4	794	29912146
HLA-A	4	795	29912147
HLA-A	4	796	29912148
HLA-A	4	797	29912149
HLA-A	4	798	29912150
HLA-A	4	799	29912151
HLA-A	4	800	29912152
HLA-A	4	801	29912153
HLA-A	4	802	29912154
HLA-A	4	803	29912155
HLA-A	4	804	29912156
HLA-A	4	805	29912157
HLA-A	4	806	29912158
HLA-A	4	807	29912159
HLA-A	4	808	29912160
HLA-A	4	809	29912161
HLA-A	4	810	29912162
HLA-A	4	811	29912163
HLA-A	4	812	29912164
HLA-A	4	813	29912165
HLA-A	4	814	29912166
HLA-A	4	815	29912167
HLA-A	4	816	29912168
HLA-A	4	817	29912169
HLA-A	4	818	29912170
HLA-A	4	819	29912171
HLA-A	4	820	29912172
HLA-A	4	821	29912173
HLA-A	4	822	29912174
HLA-A	5	823	29912277
HLA-A	5	824	29912278
HLA-A	5	825	29912279
HLA-A	5	826	29912280
HLA-A	5	827	29912281
HLA-A	5	828	29912282
HLA-A	5	829	29912283
HLA-A	5	830	29912284
HLA-A	5	831	29912285
HLA-A	5	832	29912286
HLA-A	5	833	29912287
HLA-A	5	834	29912288
HLA-A	5	835	29912289
HLA-A	5	836	29912290
HLA-A	5	837	29912291
HLA-A	5	838	29912292
HLA-A	5	839	29912293
HLA-A	5	840	29912294
HLA-A	5	841	29912295
HLA-A	5	842	29912296
HLA-A	5	843	29912297
HLA-A	5	844	29912298
HLA-A	5	845	29912299
HLA-A	5	846	29912300
HLA-A	5	847	29912301
HLA-A	5	848	29912302
HLA-A	5	849	29912303
HLA-A	5	850	29912304
HLA-A	5	851	29912305
HLA-A	5	852	29912306
HLA-A	5	853	29912307
HLA-A	5	854	29912308
HLA-A	5	855	29912309
HLA-A	5	856	29912310
HLA-A	5	857	29912311
HLA-A	5	858	29912312
HLA-A	5	859	29912313
HLA-A	5	860	29912314
HLA-A	5	861	29912315
HLA-A	5	862	29912316
HLA-A	5	863	29912317
HLA-A	5	864	29912318
HLA-A	5	865	29912319
HLA-A	5	866	29912320
HLA-A	5	867	29912321
HLA-A	5	868	29912322
HLA-A	5	869	29912323
HLA-A	5	870	29912324
HLA-A	5	871	29912325
HLA-A	5	872	29912326
HLA-A	5	873	29912327
HLA-A	5	874	29912328
HLA-A	5	875	29912329
HLA-A	5	876	29912330
HLA-A	5	877	29912331
HLA-A	5	878	29912332
HLA-A	5	879	29912333
HLA-A	5	880	29912334
HLA-A	5	881	29912335
HLA-A	5	882	29912336
HLA-A	5	883	29912337
HLA-A	5	884	29912338
HLA-A	5	885	29912339
HLA-A	5	886	29912340
HLA-A	5	887	29912341
HLA-A	5	888	29912342
HLA-A	5	889	29912343
HLA-A	5	890	29912344
HLA-A	5	891	29912345
HLA-A	5	892	29912346
HLA-A	5	893	29912347
HLA-A	5	894	29912348
HLA-A	5	895	29912349
HLA-A	5	896	29912350
HLA-A	5	897	29912351
HLA-A	5	898	29912352
HLA-A	5	899	29912353
HLA-A	5	900	29912354
HLA-A	5	901	29912355
HLA-A	5	902	29912356
HLA-A	5	903	29912357
HLA-A	5	904	29912358
HLA-A	5	905	29912359
HLA-A	5	906	29912360
HLA-A	5	907	29912361
HLA-A	5	908	29912362
HLA-A	5	909	29912363
HLA-A	5	910	29912364
HLA-A	5	911	29912365
HLA-A	5	912	29912366
HLA-A	5	913	29912367
HLA-A	5	914	29912368
HLA-A	5	915	29912369
HLA-A	5	916	29912370
HLA-A	5	917	29912371
HLA-A	5	918	29912372
HLA-A	5	919	29912373
HLA-A	5	920	29912374
HLA-A	5	921	29912375
HLA-A	5	922	29912376
HLA-A	5	923	29912377
HLA-A	5	924	29912378
HLA-A	5	925	29912379
HLA-A	5	926	29912380
HLA-A	5	927	29912381
HLA-A	5	928	29912382
HLA-A	5	929	29912383
HLA-A	5	930	29912384
HLA-A	5	931	29912385
HLA-A	5	932	29912386
HLA-A	5	933	29912387
HLA-A	5	934	29912388
HLA-A	5	935	29912389
HLA-A	5	936	29912390
HLA-A	5	937	29912391
HLA-A	5	938	29912392
HLA-A	5	939	29912393
HLA-A	6	940	29912836
HLA-A	6	941	29912837
HLA-A	6	942	29912838
HLA-A	6	943	29912839
HLA-A	6	944	29912840
HLA-A	6	945	29912841
HLA-A	6	946	29912842
HLA-A	6	947	29912843
HLA-A	6	948	29912844
HLA-A	6	949	29912845
HLA-A	6	950	29912846
HLA-A	6	951	29912847
HLA-A	6	952	29912848
HLA-A	6	953	29912849
HLA-A	6	954	29912850
HLA-A	6	955	29912851
HLA-A	6	956	29912852
HLA-A	6	957	29912853
HLA-A	6	958	29912854
HLA-A	6	959	29912855
HLA-A	6	960	29912856
HLA-A	6	961	29912857
HLA-A	6	962	29912858
HLA-A	6	963	29912859
HLA-A	6	964	29912860
HLA-A	6	965	29912861
HLA-A	6	966	29912862
HLA-A	6	967	29912863
HLA-A	6	968	29912864
HLA-A	6	969	29912865
HLA-A	6	970	29912866
HLA-A	6	971	29912867
HLA-A	6	972	29912868
HLA-A	7	973	29913011
HLA-A	7	974	29913012
HLA-A	7	975	29913013
HLA-A	7	976	29913014
HLA-A	7	977	29913015
HLA-A	7	978	29913016
HLA-A	7	979	29913017
HLA-A	7	980	29913018
HLA-A	7	981	29913019
HLA-A	7	982	29913020
HLA-A	7	983	29913021
HLA-A	7	984	29913022
HLA-A	7	985	29913023
HLA-A	7	986	29913024
HLA-A	7	987	29913025
HLA-A	7	988	29913026
HLA-A	7	989	29913027
HLA-A	7	990	29913028
HLA-A	7	991	29913029
HLA-A	7	992	29913030
HLA-A	7	993	29913031
HLA-A	7	994	29913032
HLA-A	7	995	29913033
HLA-A	7	996	29913034
